Sequence No.,V,D,air density,I,S_b,y (% relative to rated power)
1,7.96,138.9,1.14022441,0.090452261,0.266511953,39.31515152
2,8.19,140.6,1.140522241,0.083028083,0.286167448,45.74545455
3,7.2,139.3,1.14077114,0.098611111,0.339321223,38.21212121
4,6.81,137.4,1.14118627,0.101321586,0.375814946,28.21818182
5,5.09,137.5,1.141463912,0.16502947,0.303472124,12.72121212
6,5.24,134.8,1.141897573,0.131679389,0.167220997,7.296969697
7,5.58,140.7,1.142157807,0.078853047,0.33445696,15.24848485
8,5.77,142.9,1.142237864,0.074523397,0.29165994,16.61212121
9,6.03,144.1,1.142301046,0.096185738,0.278261725,20.48484848
10,6.53,142.3,1.142392853,0.075038285,0.385336077,22.45454545
11,5.94,143.7,1.142912619,0.087542088,0.334316735,18.34545455
12,5.98,142.4,1.143064599,0.078595318,0.353575464,20.06666667
13,6.07,139,1.143275274,0.098846787,0.444109996,20.04242424
14,5.85,133.5,1.143281882,0.131623932,0.227710652,14.38181818
15,6.33,133.2,1.143668369,0.169036335,0.304136098,15.82424242
16,6.18,133.3,1.14391788,0.132686084,0.316201643,14.87272727
17,6.54,134.2,1.14391613,0.114678899,0.356600965,16.35151515
18,5.63,133.1,1.144440788,0.18294849,0.197939869,14.41818182
19,4.66,130.1,1.144729299,0.231759657,0.038463819,13.15757576
20,6.44,133.7,1.145130576,0.150621118,0.27893609,17.63030303
21,7.25,137,1.145318757,0.056551724,0.3511018,18.30909091
22,6.96,137.8,1.145602666,0.058908046,0.471056331,15.4969697
23,7.08,135.6,1.146075107,0.09039548,0.469919827,14.36363636
24,5.91,139.2,1.147088211,0.123519459,0.340525706,15.00606061
25,6.18,143.6,1.147632352,0.106796117,0.370738831,20.41212121
26,5.94,145.5,1.147887295,0.092592593,0.356157915,19.82424242
27,5.72,146,1.147715487,0.101398601,0.330141019,20.73333333
28,6.12,147.8,1.148385862,0.132352941,0.311169439,24.0969697
29,7.5,148,1.148087789,0.090666667,0.437196368,33.6969697
30,7.44,147.9,1.148211273,0.095430108,0.433825672,39.3030303
31,7.71,146.8,1.148532603,0.088197147,0.542233746,41.74545455
32,7.36,146.6,1.148257097,0.076086957,0.380964591,38.4
33,7.11,147.6,1.148526894,0.090014065,0.425693433,26.56969697
34,6.51,143.8,1.148599839,0.072196621,0.248864827,22.33939394
35,6.25,147.3,1.149343576,0.0992,0.316493406,21.94545455
36,6.82,142.8,1.14921382,0.096774194,0.390693636,25.66666667
37,7.15,142.8,1.149496881,0.085314685,0.400633114,28.84242424
38,6.89,146.4,1.149675073,0.09724238,0.340792786,34.21818182
39,7.57,147,1.149295067,0.099075297,0.43630103,41.14545455
40,7.42,146.3,1.149629042,0.090296496,0.384714548,42.32121212
41,7.87,146.4,1.149331581,0.095298602,0.367476309,48.39393939
42,8.44,144.1,1.14908722,0.077014218,0.334522756,51.78787879
43,7.97,144.7,1.149131977,0.095357591,0.362467887,46.17575758
44,7.76,146.9,1.149434153,0.083762887,0.359645324,41.16969697
45,8.23,150.7,1.149920931,0.074119077,0.401202813,41.56363636
46,8.46,153.4,1.150145634,0.063829787,0.389280319,48.16363636
47,9.02,154.4,1.150127988,0.063192905,0.383412613,56.84848485
48,6.47,160.6,1.150757521,0.120556414,0.138097011,48.36969697
49,6.94,158.6,1.150978089,0.121037464,0.218437328,50.33939394
50,6.66,159,1.151141703,0.13963964,0.144689376,42.00606061
51,5.91,160,1.151849753,0.104906937,0.184066162,37.01212121
52,5.84,161.7,1.151606619,0.15239726,0.398900882,29.32727273
53,6.7,163.8,1.152082892,0.137313433,0.483255569,34.15151515
54,5.66,162.1,1.152094741,0.171378092,0.389335593,27.8969697
55,6.19,161.8,1.152187682,0.10177706,0.430240151,28.92121212
56,6.2,160.4,1.151733718,0.109677419,0.3027541,42.55151515
57,5.87,159,1.151733718,0.126064736,0.256426252,31.26060606
58,5.3,160.9,1.151757419,0.124528302,0.248044061,21.4
59,5.16,159.9,1.152290689,0.13372093,0.384411031,16.58181818
60,5.3,161.8,1.152320787,0.167924528,0.243362858,19.48484848
61,8.43,168.9,1.151630388,0.060498221,0.500269052,51.90909091
62,7.11,168.6,1.151913985,0.075949367,0.63588617,31.4
63,6.24,162.3,1.15204982,0.131410256,0.527923418,26.03636364
64,5.88,163.7,1.151799042,0.147959184,0.569588979,21.81818182
65,5.75,164,1.15219944,0.135652174,0.481213915,16.49090909
66,6.16,164.4,1.151700551,0.108766234,0.544874064,15.37575758
67,5.42,159.7,1.151863684,0.116236162,0.228572374,22.04242424
68,6.2,163.6,1.151819873,0.15,0.495653165,25.18787879
69,6.26,163.7,1.152019634,0.138977636,0.50810703,24.49090909
70,6.8,167.2,1.152192098,0.091176471,0.583098067,21.92727273
71,7.05,166.9,1.151994962,0.112056738,0.422057294,25.64242424
72,7.49,169,1.151883584,0.072096128,0.40913384,32.06060606
73,7.35,169.7,1.151840716,0.068027211,0.439699827,28.51515152
74,7.58,170.1,1.152315325,0.056728232,0.453563913,30.32727273
75,8.09,172.7,1.152196621,0.058096415,0.382577138,35.05454545
76,8.18,173.1,1.15217288,0.0599022,0.400637662,36.91515152
77,7.61,175.4,1.152094368,0.103810775,0.25652113,38.24242424
78,7.04,176.7,1.152342719,0.151988636,0.239646206,37.50909091
79,5.79,179.4,1.152485168,0.13298791,0.159010989,34.25454545
80,5.5,180.5,1.152426715,0.127272727,0.12458761,41.06666667
81,6.33,184.2,1.152643152,0.169036335,0.248503099,34.56969697
82,6.7,186.6,1.152521672,0.135820896,0.374685159,29.04242424
83,7.12,188.3,1.152937386,0.077247191,0.417492128,24.61818182
84,7.01,191.5,1.153354275,0.04850214,0.451729105,22.33939394
85,7.39,194.2,1.152787548,0.062246279,0.503934323,25.36969697
86,7.53,197.2,1.152303454,0.073041169,0.456907672,30.89090909
87,7.04,202.5,1.152026916,0.098011364,0.351361772,25.2969697
88,6.84,207.8,1.152314408,0.109649123,0.276284858,19.87878788
89,6.47,212,1.151973125,0.097372488,0.293173472,21.21818182
90,5.64,216.6,1.151464401,0.157801418,0.433516803,15.29090909
91,4.94,222.1,1.151199418,0.105263158,0.303036702,8.36969697
92,5.46,225,1.150503151,0.137362637,0.295441909,11.94545455
93,5.95,223.7,1.150108561,0.105882353,0.338053036,17.04848485
94,6.02,221.3,1.148901649,0.104651163,0.359690049,14.41818182
95,5.47,227.8,1.148697378,0.182815356,0.217398174,11.17575758
96,4.47,228.4,1.147378286,0.214765101,0.197341717,7.121212121
97,4.96,237.6,1.146984035,0.122983871,0.129070416,5.218181818
98,4.8,237.7,1.147496374,0.116666667,0.275549473,4.496969697
99,4.3,235,1.146458917,0.141860465,0.094983928,3.175757576
100,5.19,243.9,1.146060535,0.100192678,0.272886272,4.066666667
101,4.56,245.6,1.146350819,0.125,0.279965438,2.963636364
102,4.38,243,1.146516412,0.121004566,0.168515286,2.927272727
103,3.93,243.6,1.146015233,0.145038168,0.289348967,-0.448484848
104,4.24,250.7,1.144529308,0.110849057,0.151752759,0.157575758
105,4.97,259.7,1.143872072,0.14084507,0.205903364,3.303030303
106,5.07,262.3,1.143314783,0.102564103,0.163600057,0.545454545
107,4.43,268.3,1.143199005,0.130925508,0.171951217,4.581818182
108,4.03,290.7,1.139114043,0.168734491,0.038921172,1.448484848
109,4.14,300.4,1.137793182,0.157004831,-0.010704744,0.387878788
110,5.13,304.7,1.139035217,0.196881092,0.083829951,5.23030303
